Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
V pečici pečene polnjene (filane) paprike,17,231,7,1,30 min,1 h 40 min,2 h 10 min,Kosilo,146 kCal
Sataraš,7,107,4,1,15 min,20 min,35 min,Balkanska,68.62 kCal
Solata s stročjim fižolom in krompirjem,13,119,6,1,25 min,15 min,40 min,Solate,80.16 kCal
Preprost kolač s slivami,12,180,5,1,15 min,1 h 0 min,1 h 15 min,Sladice,370.4 kCal
Affogato,3,45,2,1,5 min,0 min,5 min,Pijača,231.3 kCal
Zelenjavna enolončnica z omako pistou,17,201,5,1,15 min,40 min,55 min,Poletje,75.52 kCal
Grška krompirjeva musaka,16,343,8,1,20 min,1 h 30 min,1 h 50 min,Kosilo,156.44 kCal
Pecivo z malinami in pudingom,16,206,7,1,20 min,40 min,1 h 0 min,Sladice,301.15 kCal
Polnjeni lignji s pršutom in sirom,9,245,8,1,15 min,35 min,50 min,Ribe in morski sadeži,138.39 kCal
Kumare v omaki,10,181,6,1,10 min,30 min,40 min,Brez mesa,34.76 kCal
Breskove rezine,12,136,7,1,35 min,55 min,1 h 30 min,Pecivo,217.59 kCal
Bučkin wrap s tuninim nadevom,14,138,7,1,25 min,25 min,50 min,LCHF,91.89 kCal
Hitri skutini cmoki s sadjem,7,152,3,1,55 min,10 min,1 h 5 min,Kaj skuhati,110.74 kCal
Tiramisu semifreddo,9,279,7,1,40 min,4 h 0 min,4 h 40 min,Sladice,312.52 kCal
Kremna limonina pita brez peke,6,100,4,1,15 min,0 min,15 min,Sladice,465.29 kCal
Zelenjavna lazanja,15,335,7,1,30 min,1 h 5 min,1 h 35 min,Kaj skuhati,265.92 kCal
Jogurtova panakota z jagodičevjem,9,146,5,1,15 min,20 min,35 min,Sladice,112.52 kCal
Skutina zvezda s špinačo,13,299,11,1,1 h 20 min,35 min,1 h 55 min,Zabava,157.65 kCal
Polnjeni lignji v paradižnikovi omaki,10,316,7,1,40 min,20 min,1 h 0 min,Ribe in morski sadeži,116.09 kCal
Polnjene paprike brez mesa,16,271,9,1,30 min,1 h 0 min,1 h 30 min,Zelenjava,78.67 kCal
Polpeti iz prosene kaše z zelenjavo,12,215,6,1,10 min,35 min,45 min,Brez mesa,186.25 kCal
Rolada z bučkami in mletim mesom,8,127,5,1,20 min,30 min,50 min,Video recepti,188.53 kCal
Raffaello cheesecake,15,215,7,1,45 min,5 min,50 min,Torta,446.57 kCal
"Stročji fižol s krompirjem, ocvirki in smetano",5,80,3,1,10 min,20 min,30 min,Slovenska,82.92 kCal
Hitra slivova pita,13,138,5,1,20 min,45 min,1 h 5 min,Sladice,290.9 kCal
Blitva s krompirjem in česnom,5,120,3,1,10 min,35 min,45 min,Zelenjava,51.06 kCal
Sataraš z rižem,8,106,5,1,10 min,40 min,50 min,Poletje,29.19 kCal
Zavitek z vanilijevo kremo in borovnicami,9,199,6,1,15 min,35 min,50 min,Sladice,270.21 kCal
Sivkin sirup,6,173,4,1,15 min,10 min,25 min,Domači pripravki,187.83 kCal
Beli fižol z blitvo in sirom,13,74,5,1,10 min,15 min,25 min,Brez mesa,101.18 kCal
Poletna torta z malinami,10,278,5,2,30 min,10 min,40 min,Sladice,342.27 kCal
Lahka musaka z bučkami,16,292,7,2,15 min,1 h 50 min,2 h 5 min,Kosilo,166.44 kCal
Lignji po tržaško s tatarsko omako,12,242,7,1,15 min,20 min,35 min,Kaj skuhati,179.64 kCal
Jogurtove rezine s sadjem in piškoti (brez peke),10,228,9,1,30 min,15 min,45 min,Sladice,143.5 kCal
Vložena zelenjava,8,159,6,1,50 min,15 min,1 h 5 min,Domači pripravki,0 kCal
Čokoladni sladoled brez strojčka,4,48,2,1,10 min,0 min,10 min,Sladice,483.21 kCal
Paprike s krompirjem v pečici,9,126,5,1,15 min,45 min,1 h 0 min,Kosilo,58.38 kCal
Piščančje kroglice v zelenjavni omaki,13,194,6,1,15 min,30 min,45 min,Kosilo,110.39 kCal
Preprosto jogurtovo pecivo z marelicami,10,173,7,1,10 min,40 min,50 min,Sladice,312.21 kCal
Stročji fižol z zaseko in kislo smetano,5,89,3,1,10 min,30 min,40 min,Zelenjava,76.23 kCal
Poletni krompirjev narastek,8,139,4,1,20 min,26 min,46 min,Poletje,81.02 kCal
Marelična marmelada z manj sladkorja,5,219,6,1,20 min,45 min,1 h 5 min,Domači pripravki,103.3 kCal
Sladica v kozarcu z jagodami in rabarbaro,12,253,6,1,20 min,15 min,35 min,Sladice,191.84 kCal
Bučkine rezine z jogurtom in sirom,11,172,6,1,15 min,45 min,1 h 0 min,Poletje,125.55 kCal
Klafuti z breskvami in malinami,13,168,5,1,10 min,55 min,1 h 5 min,Sladice,160.82 kCal
"Enolončnica s papriko, mletim mesom in rižem",14,232,6,1,10 min,45 min,55 min,Juhe in jedi na žlico,137.81 kCal
Krompirjeva solata s čebulo in slanino,10,116,6,1,10 min,30 min,40 min,Piknik in žar,99.57 kCal
Hitra bučkina pita s skuto,8,117,5,1,10 min,30 min,40 min,Zelenjava,164.93 kCal
Hitro skutino pecivo z borovnicami in drobljencem,17,162,6,1,20 min,1 h 0 min,1 h 20 min,Sladice,246.35 kCal
Poletna zelenjavna mineštra,16,178,5,1,15 min,30 min,45 min,Juhe in jedi na žlico,48.42 kCal
Čokoladna torta brez peke,4,121,4,1,15 min,0 min,15 min,Torta,443.81 kCal
Zapečene bučke in krompir,10,201,4,1,15 min,50 min,1 h 5 min,Poletje,110.68 kCal
Najhitreje pripravljeno testo za pico,7,114,2,1,40 min,0 min,40 min,Italijanska,380.3 kCal
Pistacijeva krema s češnjami v kozarcu,12,183,5,1,30 min,15 min,45 min,Sladice,280.39 kCal
Tunina jajčna pita brez testa,7,87,3,1,10 min,35 min,45 min,Piknik in žar,180.3 kCal
Pasticciotto,15,219,9,2,45 min,30 min,1 h 15 min,Pecivo,402.19 kCal
Zapečeni njoki v paradižnikovi omaki z mascarponejem,13,222,7,1,10 min,20 min,30 min,Kosilo,122.56 kCal
Čokoladna torta brez moke s češnjami in smetano,7,227,7,1,30 min,30 min,1 h 0 min,Brez glutena,324.08 kCal
